"t","n","value"
15,"fra",-0.0113851690382896
15,"gbr",-0.00198424132329066
15,"golf57",0.00455672806010432
15,"grc",-9.43376155170455e-05
15,"hun",0.00069405776791701
15,"idn",0.242520372791468
15,"irl",-0.000663800374895607
15,"ita",-0.00621420136328431
15,"jpn",-0.0130957468415492
15,"meme",-0.000219891476953077
15,"mex",0.00689528651124741
15,"mys",-0.00954929471059715
15,"nde",0.0151766093230749
15,"nld",0.000229813352540872
15,"noan",-0.000206072102002238
15,"noap",-0.000616466132332097
15,"nor",-0.00401267995595737
15,"oeu",-0.00760236631458498
15,"osea",0.032566241406565
15,"pol",-0.0118077600434221
15,"prt",0.000238833219714898
15,"rcam",0.0151560668222919
15,"rcz",-0.00172742864896977
15,"rfa",-0.00392866981154509
15,"ris",-0.0045336815634254
15,"rjan57",0.00802609332146987
15,"rom",-0.0121170110308472
15,"rsaf",0.247039290880576
15,"rsam",0.085571535820448
15,"rsas",0.0118921277258965
15,"rsl",-0.00110919607068715
15,"rus",-0.0197535846867972
15,"slo",-0.00133646371606495
15,"sui",-0.000439752832115431
15,"swe",-0.000698782152020083
15,"tha",0.00647998186965695
15,"tur",-0.0101972928975628
15,"ukr",-0.00259206868515032
15,"usa",-0.0419390790872106
15,"vnm",-5.93034055035567e-05
15,"zaf",0.000708748016993729
16,"arg",0.0153338906330175
16,"aus",-0.00325847416101604
16,"aut",-0.000741777663419358
16,"bel",-0.000428668700181298
16,"bgr",-0.00164158446718894
16,"blt",-0.00111511465903825
16,"bra",0.0779813810011407
16,"can",0.0187033322235131
16,"chl",-0.00683932190555401
16,"chn",-0.0519890807674153
16,"cor",-0.00707735384224297
16,"cro",-0.00119784019766973
16,"dnk",9.03404484641131e-05
16,"egy",0.000454830451760112
16,"esp",-0.00534931814698058
16,"fin",-0.00145414535778559
16,"fra",-0.0100758745988863
16,"gbr",-0.00175605357111223
16,"golf57",0.00403270433319232
16,"grc",-8.34887897325852e-05
16,"hun",0.000614241124606554
16,"idn",0.21463052992045
16,"irl",-0.000587463331782612
16,"ita",-0.00549956820650661
16,"jpn",-0.011589735954771
16,"meme",-0.000194603957103473
16,"mex",0.00610232856245396
16,"mys",-0.00845112581887848
