"t","n","value"
18,"dnk",7.0756897748305e-05
18,"egy",0.000356234580579814
18,"esp",-0.033431
18,"fin",-0.0090878
18,"fra",-0.06297
18,"gbr",-0.0109746
18,"golf57",0.00315851485136455
18,"grc",-0.00052177
18,"hun",0.000481089004819968
18,"idn",0.168103996796944
18,"irl",-0.0036714
18,"ita",-0.03437
18,"jpn",-0.072431
18,"meme",-0.0012161933
18,"mex",0.004779496288328
18,"mys",-0.052816
18,"nde",0.0105197293558028
18,"nld",0.000159296073293785
18,"noan",-0.00113976
18,"noap",-0.0034096
18,"nor",-0.02219365
18,"oeu",-0.042047773311
18,"osea",0.0225734245667063
18,"pol",-0.0653073
18,"prt",0.000165548231432413
18,"rcam",0.0105054902366472
18,"rcz",-0.0095542
18,"rfa",-0.021729
18,"ris",-0.0250752472
18,"rjan57",0.00556331969341179
18,"rom",-0.06701773
18,"rsaf",0.171236303510946
18,"rsam",0.0593142630365288
18,"rsas",0.00824307738823204
18,"rsl",-0.00613483
18,"rus",-0.1092547
18,"slo",-0.00739182
