"","V1","n","V3","value"
"387","COACCH_NoSLR","pol","p05",0.313185
"388","COACCH_NoSLR","pol","p16",0.591004
"389","COACCH_NoSLR","pol","p25",0.734032
"390","COACCH_NoSLR","pol","p33",0.812784
"391","COACCH_NoSLR","pol","p50",1.000001
"392","COACCH_NoSLR","pol","p67",1.282261
"393","COACCH_NoSLR","pol","p75",1.405976
"394","COACCH_NoSLR","pol","p84",1.593983
"395","COACCH_NoSLR","pol","p95",2.435398
"396","COACCH_NoSLR","pol","p975",2.643728
"397","COACCH_NoSLR","prt","p025",0.197078
"398","COACCH_NoSLR","prt","p05",0.313185
"399","COACCH_NoSLR","prt","p16",0.591004
"400","COACCH_NoSLR","prt","p25",0.734032
"401","COACCH_NoSLR","prt","p33",0.812784
"402","COACCH_NoSLR","prt","p50",1.000001
"403","COACCH_NoSLR","prt","p67",1.282261
"404","COACCH_NoSLR","prt","p75",1.405976
"405","COACCH_NoSLR","prt","p84",1.593983
"406","COACCH_NoSLR","prt","p95",2.435398
"407","COACCH_NoSLR","prt","p975",2.643728
"408","COACCH_NoSLR","rcam","p025",-2.650025
"409","COACCH_NoSLR","rcam","p05",-2.17407
"410","COACCH_NoSLR","rcam","p16",-0.172902
"411","COACCH_NoSLR","rcam","p25",0.218805
"412","COACCH_NoSLR","rcam","p33",0.511407
"413","COACCH_NoSLR","rcam","p50",1
"414","COACCH_NoSLR","rcam","p67",1.21305
"415","COACCH_NoSLR","rcam","p75",1.38975
"416","COACCH_NoSLR","rcam","p84",1.806769
"417","COACCH_NoSLR","rcam","p95",2.150311
"418","COACCH_NoSLR","rcam","p975",2.262216
"419","COACCH_NoSLR","rcz","p025",0.197078
"420","COACCH_NoSLR","rcz","p05",0.313185
"421","COACCH_NoSLR","rcz","p16",0.591004
"422","COACCH_NoSLR","rcz","p25",0.734032
"423","COACCH_NoSLR","rcz","p33",0.812784
"424","COACCH_NoSLR","rcz","p50",1.000001
"425","COACCH_NoSLR","rcz","p67",1.282261
"426","COACCH_NoSLR","rcz","p75",1.405976
"427","COACCH_NoSLR","rcz","p84",1.593983
"428","COACCH_NoSLR","rcz","p95",2.435398
"429","COACCH_NoSLR","rcz","p975",2.643728
"430","COACCH_NoSLR","rfa","p025",0.197078
"431","COACCH_NoSLR","rfa","p05",0.313185
"432","COACCH_NoSLR","rfa","p16",0.591004
"433","COACCH_NoSLR","rfa","p25",0.734032
"434","COACCH_NoSLR","rfa","p33",0.812784
"435","COACCH_NoSLR","rfa","p50",1.000001
"436","COACCH_NoSLR","rfa","p67",1.282261
"437","COACCH_NoSLR","rfa","p75",1.405976
"438","COACCH_NoSLR","rfa","p84",1.593983
"439","COACCH_NoSLR","rfa","p95",2.435398
"440","COACCH_NoSLR","rfa","p975",2.643728
"441","COACCH_NoSLR","ris","p025",0.052205
"442","COACCH_NoSLR","ris","p05",0.106302
"443","COACCH_NoSLR","ris","p16",0.365091
"444","COACCH_NoSLR","ris","p25",0.567338
"445","COACCH_NoSLR","ris","p33",0.678556
"446","COACCH_NoSLR","ris","p50",1
"447","COACCH_NoSLR","ris","p67",1.311508
"448","COACCH_NoSLR","ris","p75",1.544712
"449","COACCH_NoSLR","ris","p84",1.739935
"450","COACCH_NoSLR","ris","p95",2.174356
"451","COACCH_NoSLR","ris","p975",2.292899
"452","COACCH_NoSLR","rjan57","p025",-0.429368
"453","COACCH_NoSLR","rjan57","p05",-0.287757
"454","COACCH_NoSLR","rjan57","p16",0.257925
"455","COACCH_NoSLR","rjan57","p25",0.566737
"456","COACCH_NoSLR","rjan57","p33",0.707623
"457","COACCH_NoSLR","rjan57","p50",1
"458","COACCH_NoSLR","rjan57","p67",1.226443
"459","COACCH_NoSLR","rjan57","p75",1.332975
"460","COACCH_NoSLR","rjan57","p84",1.625733
"461","COACCH_NoSLR","rjan57","p95",1.972878
"462","COACCH_NoSLR","rjan57","p975",2.069543
"463","COACCH_NoSLR","rom","p025",0.197078
"464","COACCH_NoSLR","rom","p05",0.313185
"465","COACCH_NoSLR","rom","p16",0.591004
"466","COACCH_NoSLR","rom","p25",0.734032
"467","COACCH_NoSLR","rom","p33",0.812784
"468","COACCH_NoSLR","rom","p50",1.000001
"469","COACCH_NoSLR","rom","p67",1.282261
"470","COACCH_NoSLR","rom","p75",1.405976
"471","COACCH_NoSLR","rom","p84",1.593983
"472","COACCH_NoSLR","rom","p95",2.435398
"473","COACCH_NoSLR","rom","p975",2.643728
"474","COACCH_NoSLR","rsaf","p025",0.469345
"475","COACCH_NoSLR","rsaf","p05",0.532374
"476","COACCH_NoSLR","rsaf","p16",0.720943
"477","COACCH_NoSLR","rsaf","p25",0.808633
"478","COACCH_NoSLR","rsaf","p33",0.875909
"479","COACCH_NoSLR","rsaf","p50",1
"480","COACCH_NoSLR","rsaf","p67",1.102259
"481","COACCH_NoSLR","rsaf","p75",1.172514
"482","COACCH_NoSLR","rsaf","p84",1.262361
"483","COACCH_NoSLR","rsaf","p95",1.397393
"484","COACCH_NoSLR","rsaf","p975",1.454792
